proyecto;registro_compra;costo_not_venta;comision_compra;administracion;comision_arriendo;predial;seguro_vida;seguro_it_amit;prov_sostenimiento;retefuente_venta;comision_venta
Olivar Aptos;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Olivar Apto 9909;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Olivar Apto 9904;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Arándanos 203;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Arándanos 106;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Portón del Norte 61 ;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Portón del Norte 70;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Cantares de Riachuelos 51;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Cantares de Riachuelos 61;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Bari;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Flor de Agua;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Majagua;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Reserva de Búcaros;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Selvática;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Ciudadela Monteflor;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Vista del Valle;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Alameda del Contador;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Gratamira Real;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Edificio 22 Suites Gold;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Reserva de Normandia ;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
Balcones de Sevilla;0.009;0.007;0;185000;0.08;0.002;1200;0;0.0001;0.01;0.03
